id,text,topic,time_of_day,date,is_priority,expected_query
1,"O usuário mencionou que adora programar em Python e JavaScript","programação","afternoon","2023-10-15",1,"Quais linguagens de programação o usuário conhece?"
2,"O usuário disse que seu filme favorito é Interestelar","entretenimento","evening","2023-10-16",0,"Quais são os filmes preferidos do usuário?"
3,"Nas manhãs, o usuário geralmente toma café e lê notícias","rotina","morning","2023-10-17",1,"Como é a rotina matinal do usuário?"
4,"O usuário tem alergia a frutos do mar","saúde","afternoon","2023-10-18",1,"O usuário tem alguma restrição alimentar?"
5,"O usuário gosta de viajar para praias no verão","viagens","evening","2023-10-19",0,"Quais são os destinos de viagem preferidos?"
6,"O usuário trabalha como engenheiro de dados","profissão","morning","2023-10-20",1,"Qual é a profissão do usuário?"
7,"O usuário prefere cachorros a gatos","animais","afternoon","2023-10-21",0,"O usuário prefere cachorros ou gatos?"
8,"O usuário está aprendendo a tocar violão","hobbies","evening","2023-10-22",1,"Quais hobbies o usuário está praticando?"
9,"O usuário não consome bebidas alcoólicas","preferências","morning","2023-10-23",0,"Quais são as preferências de bebidas do usuário?"
10,"O usuário se exercita três vezes por semana","saúde","afternoon","2023-10-24",1,"Qual é a frequência de exercícios do usuário?"
11,"O usuário gosta de cozinhar comida italiana","culinária","evening","2023-10-25",0,"Quais tipos de culinária o usuário prefere?"
12,"O usuário nasceu em São Paulo em 1990","pessoal","morning","2023-10-26",1,"Onde e quando o usuário nasceu?"
13,"O usuário tem um irmão mais novo","família","afternoon","2023-10-27",0,"Quantos irmãos o usuário tem?"
14,"O usuário usa óculos para leitura","saúde","evening","2023-10-28",1,"O usuário precisa de óculos?"
15,"O usuário gosta de ler livros de ficção científica","leitura","morning","2023-10-29",0,"Quais gêneros literários o usuário prefere?"
16,"O usuário tem medo de altura","pessoal","afternoon","2023-10-30",1,"O usuário tem algum medo específico?"
17,"O usuário dirige um carro elétrico","transporte","evening","2023-10-31",0,"Que tipo de veículo o usuário dirige?"
18,"O usuário é vegetariano desde 2018","alimentação","morning","2023-11-01",1,"Qual é a dieta do usuário?"
19,"O usuário fala inglês fluentemente","idiomas","afternoon","2023-11-02",0,"Quais idiomas o usuário domina?"
20,"O usuário planeja fazer um mestrado no exterior","educação","evening","2023-11-03",1,"Quais são os planos acadêmicos do usuário?"
21,"O usuário possui um cachorro da raça Golden Retriever chamado Max","animais","morning","2023-11-04",1,"O usuário tem algum animal de estimação?"
22,"O usuário é alérgico a poeira e ácaros","saúde","afternoon","2023-11-05",1,"O usuário tem alguma alergia?"
23,"O usuário gosta de assistir séries de comédia romântica","entretenimento","evening","2023-11-06",0,"Quais tipos de série o usuário prefere?"
24,"O usuário trabalha remotamente às quartas e sextas","profissão","morning","2023-11-07",1,"Qual é o regime de trabalho do usuário?"
25,"O usuário mora em um apartamento no bairro Jardins","pessoal","afternoon","2023-11-08",0,"Onde o usuário mora?"
26,"O usuário medita por 15 minutos todas as manhãs","rotina","morning","2023-11-09",1,"Quais hábitos matinais o usuário tem?"
27,"O usuário coleciona vinhos raros","hobbies","evening","2023-11-10",0,"Quais hobbies incomuns o usuário tem?"
28,"O usuário já visitou 15 países diferentes","viagens","afternoon","2023-11-11",1,"Qual é a experiência do usuário com viagens?"
29,"O usuário tem intolerância à lactose","saúde","morning","2023-11-12",1,"O usuário tem restrições alimentares?"
30,"O usuário assina revistas de tecnologia e ciência","leitura","evening","2023-11-13",0,"Quais materiais o usuário gosta de ler?"
31,"O usuário toca piano desde os 7 anos de idade","hobbies","afternoon","2023-11-14",1,"Quanto tempo o usuário pratica música?"
32,"O usuário prefere Android ao invés de iPhone","tecnologia","morning","2023-11-15",0,"Qual sistema mobile o usuário prefere?"
33,"O usuário tem uma irmã gêmea que mora no Canadá","família","evening","2023-11-16",1,"O usuário tem familiares no exterior?"
34,"O usuário faz investimentos em criptomoedas","finanças","afternoon","2023-11-17",0,"Quais investimentos o usuário possui?"
35,"O usuário acorda às 6:30 durante a semana","rotina","morning","2023-11-18",1,"Qual é o horário que o usuário acorda?"
36,"O usuário usa Linux como sistema operacional principal","tecnologia","evening","2023-11-19",1,"Qual sistema operacional o usuário usa?"
37,"O usuário não come carne vermelha há 5 anos","alimentação","afternoon","2023-11-20",0,"Há quanto tempo o usuário é vegetariano?"
38,"O usuário fala espanhol em nível intermediário","idiomas","morning","2023-11-21",1,"Quais idiomas o usuário fala além do inglês?"
39,"O usuário tem pavor de baratas","pessoal","evening","2023-11-22",0,"O usuário tem algum medo incomum?"
40,"O usuário dirige uma motocicleta Honda CB 500","transporte","afternoon","2023-11-23",1,"Que tipo de veículo o usuário usa?"
41,"O usuário faz streaming de jogos nas noites de quinta","hobbies","evening","2023-11-24",0,"Quais atividades de lazer o usuário faz?"
42,"O usuário tem um jardim com plantas medicinais em casa","casa","morning","2023-11-25",1,"O usuário cultiva algo em casa?"
43,"O usuário trabalhou na Alemanha por 2 anos","profissão","afternoon","2023-11-26",0,"O usuário tem experiência internacional?"
44,"O usuário tem um irmão que é médico","família","evening","2023-11-27",1,"Quais profissões existem na família do usuário?"
45,"O usuário estuda francês todas as terças e quintas","educação","morning","2023-11-28",0,"Quais idiomas o usuário está aprendendo?"
46,"O usuário tem um blog sobre sustentabilidade","hobbies","afternoon","2023-11-29",1,"O usuário produz algum conteúdo online?"
47,"O usuário prefere praias desertas ao invés de movimentadas","viagens","evening","2023-11-30",0,"Que tipo de praia o usuário prefere?"
48,"O usuário usa um smartwatch para monitorar saúde","tecnologia","morning","2023-12-01",1,"Quais dispositivos wearable o usuário usa?"
49,"O usuário faz jejum intermitente 16/8","saúde","afternoon","2023-12-02",0,"Quais hábitos saudáveis o usuário pratica?"
50,"O usuário tem uma tatuagem de um dragão no braço","pessoal","evening","2023-12-03",1,"O usuário tem alguma tatuagem?"
51,"O usuário tem uma coleção de 200 vinis raros, principalmente de jazz dos anos 60","hobbies","evening","2023-12-04",1,"Quais itens colecionáveis o usuário possui?"
52,"O usuário só bebe café especial de microlotes da Colômbia","alimentação","morning","2023-12-05",0,"Quais são as preferências específicas do usuário sobre café?"
53,"O usuário mede 1,82m e pesa 78kg","saúde","afternoon","2023-12-06",1,"Quais são as características físicas do usuário?"
54,"O usuário tem um projeto de reflorestamento em sua propriedade rural","meio_ambiente","morning","2023-12-07",1,"Quais projetos ambientais o usuário participa?"
55,"O usuário usa um aplicativo próprio para gerenciar seus hábitos","tecnologia","evening","2023-12-08",0,"Quais ferramentas pessoais o usuário desenvolveu?"
56,"O usuário já participou de 3 maratonas internacionais","esportes","afternoon","2023-12-09",1,"Quais conquistas esportivas o usuário tem?"
57,"O usuário tem um canal no YouTube sobre reparos de eletrônicos","hobbies","morning","2023-12-10",0,"O usuário produz conteúdo sobre qual tema?"
58,"O usuário troca de celular a cada 4 anos, sempre por modelos sustentáveis","tecnologia","evening","2023-12-11",1,"Qual é o comportamento do usuário com tecnologia?"
59,"O usuário faz voluntariado em um abrigo de animais todo mês","social","afternoon","2023-12-12",0,"Quais trabalhos voluntários o usuário realiza?"
60,"O usuário tem um orçamento detalhado controlado por planilhas","finanças","morning","2023-12-13",1,"Como o usuário organiza suas finanças?"
61,"O usuário só compra roupas de marcas sustentáveis","consumo","evening","2023-12-14",0,"Quais são os hábitos de consumo do usuário?"
62,"O usuário tem uma rotina noturna rigorosa, dormindo sempre às 22h","rotina","afternoon","2023-12-15",1,"Como é a rotina noturna do usuário?"
63,"O usuário pratica mergulho profissional e já explorou 10 naufrágios","esportes","morning","2023-12-16",0,"Quais esportes radicais o usuário pratica?"
64,"O usuário tem um jardim vertical com 50 espécies de ervas medicinais","casa","evening","2023-12-17",1,"O que o usuário cultiva em casa?"
65,"O usuário só viaja usando meios de transporte sustentáveis","viagens","afternoon","2023-12-18",0,"Quais são os hábitos de viagem do usuário?"
66,"O usuário tem um diário pessoal mantido desde 2015","pessoal","morning","2023-12-19",1,"Quais hábitos de registro pessoal o usuário tem?"
67,"O usuário participa de um clube do livro mensal focado em ficção científica","leitura","evening","2023-12-20",0,"Quais atividades culturais o usuário frequenta?"
68,"O usuário tem uma tatuagem que representa sua avó falecida","pessoal","afternoon","2023-12-21",1,"Qual o significado das tatuagens do usuário?"
69,"O usuário produz sua própria energia solar em casa","meio_ambiente","morning","2023-12-22",0,"Quais práticas sustentáveis o usuário adota?"
70,"O usuário tem um plano detalhado para comprar uma casa em 5 anos","finanças","evening","2023-12-23",1,"Quais são os planos financeiros do usuário?"
71,"O usuário fala 5 idiomas fluentemente: PT, EN, ES, FR, DE","idiomas","afternoon","2023-12-24",0,"Quantos idiomas o usuário domina?"
72,"O usuário tem uma coleção de pedras de todos os países que visitou","hobbies","morning","2023-12-25",1,"Quais coleções incomuns o usuário possui?"
73,"O usuário faz jejum digital todo final de semana","tecnologia","evening","2023-12-26",0,"Quais hábitos digitais o usuário tem?"
74,"O usuário já publicou 3 artigos científicos sobre inteligência artificial","profissão","afternoon","2023-12-27",1,"Quais conquistas profissionais o usuário tem?"
75,"O usuário medita usando técnicas tibetanas aprendidas em uma viagem","rotina","morning","2023-12-28",0,"Quais técnicas de meditação o usuário pratica?"
76,"O usuário tem um plano detalhado de leitura com 50 livros/ano","leitura","evening","2023-12-29",1,"Como é o hábito de leitura do usuário?"
77,"O usuário só consome notícias de fontes verificadas e sem sensacionalismo","consumo","afternoon","2023-12-30",0,"Como o usuário consome informações?"
78,"O usuário tem uma horta comunitária no prédio onde mora","social","morning","2023-12-31",1,"Quais projetos comunitários o usuário lidera?"
79,"O usuário faz backup automático de todos seus dados em 3 locais diferentes","tecnologia","evening","2024-01-01",0,"Como o usuário protege seus dados?"
80,"O usuário tem um diário de gratidão mantido por 8 anos consecutivos","pessoal","afternoon","2024-01-02",1,"Quais práticas de desenvolvimento pessoal o usuário tem?"
81,"O usuário só compra eletrônicos com certificação de reparabilidade","consumo","morning","2024-01-03",0,"Quais critérios o usuário usa para comprar eletrônicos?"
82,"O usuário participa de um grupo de astronomia amadora","hobbies","evening","2024-01-04",1,"Quais hobbies científicos o usuário tem?"
83,"O usuário tem um sistema de captação de água da chuva em casa","meio_ambiente","afternoon","2024-01-05",0,"Quais sistemas sustentáveis o usuário instalou?"
84,"O usuário já deu palestras em 15 países diferentes","profissão","morning","2024-01-06",1,"Qual é o alcance internacional do usuário?"
85,"O usuário tem um cofre digital com cópias de documentos importantes","organização","evening","2024-01-07",0,"Como o usuário organiza documentos importantes?"
86,"O usuário faz revisão de vida trimestral com metas específicas","pessoal","afternoon","2024-01-08",1,"Como o usuário faz planejamento pessoal?"
87,"O usuário tem um mapa marcando todos os parques nacionais que visitou","viagens","morning","2024-01-09",0,"Quais são os interesses do usuário em viagens?"
